iter	Passed	Remaining
465	733	840
466	733	837
467	734	835
468	735	833
469	736	830
470	737	828
471	738	826
472	739	824
473	740	821
474	741	819
475	742	817
476	743	815
477	744	813
478	745	811
479	746	808
480	747	806
481	748	804
482	749	802
483	750	800
484	751	797
485	752	795
486	753	793
487	754	791
488	755	789
489	756	787
490	757	785
491	758	783
492	759	781
493	760	778
494	761	776
495	762	774
496	763	772
497	764	770
498	765	768
499	766	766
500	767	763
501	767	761
502	768	759
503	769	757
504	770	755
505	771	753
506	773	751
507	774	749
508	775	747
509	776	745
510	777	743
511	778	741
512	779	739
513	780	737
514	781	735
515	781	733
516	782	731
517	784	729
518	785	727
519	786	725
520	787	723
521	788	721
522	789	719
523	790	717
524	791	715
525	792	713
526	793	711
527	794	709
528	795	707
529	795	705
530	796	703
531	798	702
532	799	700
533	799	698
534	800	696
535	802	694
536	803	692
537	804	690
538	804	688
539	805	686
540	806	684
541	807	682
542	808	680
543	809	678
544	810	676
545	811	675
546	812	673
547	813	671
548	814	669
549	815	667
550	816	665
551	818	663
552	819	662
553	820	660
554	821	658
555	822	656
556	823	654
557	824	652
558	825	651
559	826	649
560	827	647
561	828	645
562	829	643
563	830	641
564	831	640
565	832	638
566	833	636
567	834	634
568	835	632
569	836	631
570	837	629
571	838	627
572	839	625
573	840	623
574	841	621
575	842	620
576	843	618
577	844	616
578	845	614
579	846	613
580	848	611
581	849	609
582	850	608
583	851	606
584	852	604
585	853	602
586	854	600
587	855	599
588	856	597
589	856	595
590	858	593
591	859	592
592	860	590
593	861	588
594	862	586
595	863	585
596	864	583
597	865	581
598	866	579
599	867	578
600	868	576
601	869	574
602	870	572
603	871	571
604	872	569
605	872	567
606	873	565
607	874	563
608	875	562
609	876	560
610	877	558
611	878	557
612	879	555
613	880	553
614	881	552
615	883	550
616	884	548
617	885	547
618	886	545
619	887	543
620	888	542
621	889	540
622	890	538
623	891	537
624	892	535
625	894	534
626	895	532
627	896	531
628	897	529
629	898	527
630	899	526
631	900	524
632	901	522
633	903	521
634	904	519
635	905	517
636	906	516
637	907	514
638	908	513
639	909	511
640	910	510
641	911	508
642	912	506
643	913	505
644	914	503
645	915	501
646	916	500
647	917	498
648	918	496
649	919	495
650	921	493
651	923	492
652	924	491
653	925	489
654	926	488
655	927	486
656	928	484
657	929	483
658	930	481
659	931	479
660	932	478
661	933	476
662	934	475
663	935	473
664	936	471
665	937	470
666	939	468
667	940	467
668	940	465
669	941	463
670	942	462
671	943	460
672	944	459
673	945	457
674	946	455
675	947	454
676	948	452
677	949	451
678	951	449
679	952	448
680	953	446
681	954	445
682	955	443
683	956	442
684	957	440
685	958	438
686	959	437
687	961	435
688	962	434
689	963	432
690	964	431
691	965	429
692	966	428
693	967	426
694	968	425
695	969	423
696	970	422
697	971	420
698	973	419
699	974	417
700	975	415
701	976	414
702	977	412
703	978	411
704	979	409
705	980	408
706	982	407
707	983	405
708	984	403
709	985	402
710	986	400
711	987	399
712	989	398
713	990	396
714	991	395
715	992	393
716	993	392
717	995	390
718	996	389
719	998	388
720	999	386
721	1000	385
722	1002	383
723	1003	382
724	1004	380
725	1005	379
726	1007	378
727	1009	376
728	1010	375
729	1011	374
730	1013	372
731	1014	371
732	1015	369
733	1016	368
734	1017	366
735	1018	365
736	1019	363
737	1021	362
738	1023	361
739	1025	360
740	1026	358
741	1028	357
742	1029	356
743	1030	354
744	1031	353
745	1032	351
746	1034	350
747	1035	348
748	1036	347
749	1038	346
750	1040	345
751	1042	343
752	1043	342
753	1044	340
754	1045	339
755	1046	337
756	1048	336
757	1049	335
758	1051	333
759	1052	332
760	1054	331
761	1056	330
762	1058	328
763	1059	327
764	1060	325
765	1061	324
766	1063	322
767	1064	321
768	1065	320
769	1067	318
770	1068	317
771	1070	316
772	1071	314
773	1073	313
774	1074	312
775	1075	310
776	1076	309
777	1077	307
778	1079	306
779	1080	304
780	1081	303
781	1082	301
782	1083	300
783	1085	299
784	1086	297
785	1088	296
786	1090	295
787	1091	293
788	1092	292
789	1093	290
790	1094	289
791	1096	287
792	1097	286
793	1098	284
794	1099	283
795	1101	282
796	1102	280
797	1103	279
798	1104	277
799	1105	276
800	1106	274
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1113	266
807	1114	264
808	1116	263
809	1117	262
810	1118	260
811	1119	259
812	1120	257
813	1121	256
814	1122	254
815	1124	253
816	1125	252
817	1126	250
818	1127	249
819	1128	247
820	1129	246
821	1130	244
822	1131	243
823	1133	242
824	1134	240
825	1135	239
826	1136	237
827	1137	236
828	1138	234
829	1139	233
830	1141	232
831	1142	230
832	1143	229
833	1145	227
834	1146	226
835	1147	225
836	1148	223
837	1150	222
838	1151	220
839	1152	219
840	1153	218
841	1154	216
842	1155	215
843	1156	213
844	1157	212
845	1158	210
846	1159	209
847	1160	208
848	1161	206
849	1163	205
850	1164	203
851	1165	202
852	1166	200
853	1167	199
854	1167	198
855	1168	196
856	1169	195
857	1170	193
858	1171	192
859	1172	190
860	1173	189
861	1174	188
862	1175	186
863	1177	185
864	1177	183
865	1178	182
866	1179	181
867	1180	179
868	1181	178
869	1182	176
870	1183	175
871	1184	173
872	1185	172
873	1186	171
874	1187	169
875	1188	168
876	1190	166
877	1191	165
878	1192	164
879	1193	162
880	1194	161
881	1195	159
882	1196	158
883	1197	157
884	1198	155
885	1199	154
886	1200	152
887	1201	151
888	1202	150
889	1203	148
890	1204	147
891	1205	145
892	1206	144
893	1207	143
894	1208	141
895	1209	140
896	1210	139
897	1211	137
898	1212	136
899	1213	134
900	1214	133
901	1215	132
902	1216	130
903	1217	129
904	1219	127
905	1220	126
906	1222	125
907	1224	124
908	1225	122
909	1227	121
910	1228	119
911	1229	118
912	1230	117
913	1231	115
914	1232	114
915	1234	113
916	1235	111
917	1236	110
918	1237	109
919	1238	107
920	1239	106
921	1240	104
922	1241	103
923	1242	102
924	1244	100
925	1245	99
926	1246	98
927	1247	96
928	1248	95
929	1249	94
930	1251	92
931	1252	91
932	1253	89
933	1254	88
934	1255	87
935	1256	85
936	1257	84
937	1257	83
938	1258	81
939	1259	80
940	1260	79
941	1261	77
942	1262	76
943	1264	75
944	1265	73
945	1266	72
946	1267	70
947	1268	69
948	1269	68
949	1270	66
950	1270	65
951	1271	64
952	1272	62
953	1273	61
954	1274	60
955	1275	58
956	1276	57
957	1277	56
958	1278	54
959	1279	53
960	1280	51
961	1281	50
962	1282	49
963	1283	47
964	1284	46
965	1285	45
966	1286	43
967	1287	42
968	1288	41
969	1289	39
970	1290	38
971	1291	37
972	1292	35
973	1293	34
974	1294	33
975	1295	31
976	1296	30
977	1297	29
978	1298	27
979	1299	26
980	1300	25
981	1301	23
982	1302	22
983	1303	21
984	1304	19
985	1305	18
986	1306	17
987	1307	15
988	1308	14
989	1309	13
990	1310	11
991	1311	10
992	1312	9
993	1313	7
994	1314	6
995	1314	5
996	1315	3
997	1316	2
998	1317	1
999	1318	0
